"mid","source","question","option A","option B"
"2066-2","Swipe in from the left edge, and with your finger still on the screen, move it back toward the left edge.","Wie kann ich mit dem Touch in Windows 8, eine Liste der zuletzt verwendeten Anwendungen einsehen?","Drücken Sie in vom linken Rand und mit Ihrem Finger noch auf dem Bildschirm, stellen Sie es an den linken Rand zurück.","Swipe in vom linken Rand, und noch immer mit dem Finger auf dem Bildschirm, sie zurück in Richtung der linken Rand."
"2081-2","Navigate to Settings > FaceTime. Turn FaceTime on if needed. Sign in with your Apple ID. From the Home screen, open the FaceTime app. Sign in with your Apple ID.","Wie kann ich FaceTime auf dem iPad aktivieren?","Wechseln Sie zu Einstellungen > FaceTime. Schalten Sie FaceTime bei Bedarf ein. Melden Sie sich mit Ihrem Apple-ID <mqm:issue xml:id=""x66665"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">ein</mqm:issue>. Öffnen Sie im persönlichen Bildschirm das FaceTime <mqm:issue xml:id=""x66666"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">app</mqm:issue>. Melden Sie sich mit Ihrem Apple-ID <mqm:issue xml:id=""x66667"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">ein</mqm:issue>.","Wechseln Sie <mqm:issue xml:id=""x66668"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">in den</mqm:issue> Einstellungen > FaceTime. <mqm:issue xml:id=""x66669"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Tourner auf </mqm:issue>FaceTime, wenn nötig. Melden Sie sich <mqm:issue xml:id=""x66670"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">in</mqm:issue> Ihrem Apple ID<mqm:issue xml:id=""x66671"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>. Von der <mqm:issue xml:id=""x66672"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Home- Bildschirm</mqm:issue>, öffnen Sie die FaceTime <mqm:issue xml:id=""x66673"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">app</mqm:issue>. Melden Sie sich <mqm:issue xml:id=""x66674"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">in</mqm:issue> Ihrem Apple ID<mqm:issue xml:id=""x66675"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>."
"2094-1","An Apple ID is a user name and password you use to access all the Apple services.","Was ist ein Apple ID?","Ein Apple-ID ist ein Benutzername und Passwort<mqm:issue xml:id=""x66676"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>Sie nutzen, um auf alle Apple Dienstleistungen<mqm:issue xml:id=""x66677"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>.","Ein Apple-ID ist ein Benutzername und Kennwort, <mqm:issue xml:id=""x66678"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">das</mqm:issue> Sie verwenden, um auf alle Apple-Dienste<mqm:issue xml:id=""x66679"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>zugreifen."
"2105-2","iWork for Mac was designed to take advantage of Mac hardware and OS X to provide the best experience on the desktop, while iWork for iCloud was designed to provide the best experience on the web.","Was ist der Unterschied zwischen der iWork-Apps für Mac und iWork für iCloud Beta?","IWork für Mac wurde konstruiert, um von Mac-Hardware und os X auszunutzen, um für die beste Erfahrung auf dem Schreibtisch anbieten, während iWork für icloud konstruiert wurde, um für die beste Erfahrung im Internet zur Verfügung zu stellen.","IWork für Mac wurde entwickelt, um nutzen Hardware und Mac OS X, die besten Erfahrungen auf dem Desktop, während iWork für icloud wurde entwickelt, um die besten Erfahrungen über das Internet."
"2108-2"," No. iTunes only sends the same stream to multiple AirPort Express units.","Kann iTunes verschiedene AirPlay-Streams an verschiedene AirPort Express-Stationen senden?","<mqm:issue xml:id=""x66680"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Nr. </mqm:issue>iTunes <mqm:issue xml:id=""x66681"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">versetzt</mqm:issue> nur den gleichen Datenstrom <mqm:issue xml:id=""x66682"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x66683"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">mehreren</mqm:issue></mqm:issue> <mqm:issue xml:id=""x66684"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Flughafen-explizit-</mqm:issue>Einheiten.","<mqm:issue xml:id=""x66685"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Nr.</mqm:issue> iTunes nur sendet die gleichen <mqm:issue xml:id=""x66686"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Stream</mqm:issue> auf mehrere AirPort <mqm:issue xml:id=""x66687"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">Express Einheiten</mqm:issue>."
"2141-2","The website has to be written in such a way detecting what kind of device is opened from and on the base of this what interface to show.","Wie kann ich meine Website für den mobilen Einsatz konvertieren?","Die Website muss in solchen einer Weise, die alle Art von Gerät erkannt, die durch geöffnet wird, und auf die Basis des geschrieben werden welche Schnittstelle angezeigt.","Die Website muss in einer solchen Weise geschrieben werden, welche Art von Gerät ist von und auf der Basis dieses, was Schnittstelle zu zeigen."
"2154-1","Just right click on the Skype name, then select block this person.","Wie jemand dauerhaft auf Skype blockieren?","<mqm:issue xml:id=""x66688"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">Nur</mqm:issue> mit der rechten Maustaste auf die Skype-Name<mqm:issue xml:id=""x66689"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>, dann wählen Sie diese Person<mqm:issue xml:id=""x66690"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>.","Einfach rechts<mqm:issue xml:id=""x66691"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>den Skype-Namen klicken, <mqm:issue xml:id=""x66692"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">wählen dann aus diese Person Sie</mqm:issue>."
"2161-2","Right click on the file and open the properties tab, from the acess drop down menu select read-only.","Wie mache ich es, dass Dokumente in Libre Office nur gelesen werden?","Klicken Sie rechts und den Eigenschaftstab öffnen, des Acess-Sturz Menü gedrückt wählen Sie schreibgeschützt.","Richtig die Datei anklicken und den Eigenschaftstab aufmachen, vom Acess-Sturz Menü hinunter auserlesen schreibgeschützt."
"2177-1","Using the laptop while it's charging should not cause any problems at all. ","Ist es schlimme ein Spiel auf dem Laptop zu spielen, während dieser auflädt.","Mit dem Laptop während seiner <mqm:issue xml:id=""x66693"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Erhebung</mqm:issue><mqm:issue xml:id=""x66694"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>dürfte keine Probleme<mqm:issue xml:id=""x66695"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>.","Den Laptop <mqm:issue xml:id=""x66696"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">benutzen</mqm:issue>, während seine Ladung überhaupt keine Probleme hervorrufen <mqm:issue xml:id=""x66697"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x66698"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">können soll</mqm:issue></mqm:issue>."
"2195-1","They can see how much data you use and the address your VPN connects to but not what the data is.","Sieht ISP meine Datennutzung wenn ich ein VPN nutze?","Sie <mqm:issue xml:id=""x66699"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">sehen</mqm:issue> können, wie viel Daten, die Sie verwenden und die Adresse <mqm:issue xml:id=""x66700"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Ihrer VPN-verbindet</mqm:issue>, aber nicht das, was die Daten <mqm:issue xml:id=""x66701"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">ist</mqm:issue>.","Sie können sehen, wie viel Daten, die Sie nutzen, und die Adresse, mit der Ihr VPN <mqm:issue xml:id=""x66702"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">verbinden</mqm:issue> <mqm:issue xml:id=""x66703"" type=""Addition"" severity=""null"" note="""" agent=""Kim Harris"">wollen</mqm:issue>, aber nicht<mqm:issue xml:id=""x66704"" type=""Grammar"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>was die Daten sind."
"2212-2","They don't have the same connectors on them, so they are not compatible.","Sind IDE und SATA kompatibel?","Sie haben die gleichen Verbinder <mqm:issue xml:id=""x66705"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">nicht</mqm:issue> <mqm:issue xml:id=""x66706"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">auf</mqm:issue>, <mqm:issue xml:id=""x66707"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">so</mqm:issue> sind sie nicht kompatibel.","Sie haben nicht die gleichen Steckverbindern <mqm:issue xml:id=""x66708"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">auf sie</mqm:issue>, so dass sie <mqm:issue xml:id=""x66709"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">sind</mqm:issue> nicht kompatibel."
"2213-1","If the connectors are the same type yes. You would have to look at the hard drives specifications.","Kann ich meine alte Festplatte in einem anderen Laptop nutzen?","Wenn die Steckverbindern sind die gleichen Typs ja. Sie müssten sich die harten Laufwerkespezifikationen anschauen.","Wenn die Verbinder der gleiche Art Ja sind. Sie viel die Festplatte Laufwerkespezifikationen surfen."
"2218-2","Use a notebook cooler pad.","Ist das ein guter Weg meinen Laptop während Spielens kühl zu halten?","Verwenden Sie einen Notebookkühlerpolster.","Ein Notebook kühler verwenden."
"2225-1","Viber is a mobile application that allows you to make phone calls and send text messages to all other Viber users.","Was ist Viber?","Viber ist eine mobile Anwendung, die Sie zu telefonieren und SMS versenden für alle anderen Viber Nutzer.","Viber ist eine mobile Anwendung, die es Ihnen ermöglicht, Anrufe zu öffnen und allen anderen Viber-Nutzern Textnachrichten zu senden."
"2257-1","Select the cells to wrap and select Wrap Text from the Home tab.","Wie mache ich in Excel 2013 in Zellen Zeilenumbruch?","Wählen Sie die Zellen aus, und wählen Sie das Register < emph > Umlauf Text von der Home-.","Wählen Sie aus dem persönlichen Tab die Zellen aus, um Zeilenumbruch umzubrechen und auszuwählen."
"2281-2","Select the text to modify. From the Home tab, click the Font Color drop-down arrow and select the font color you want to use.","Wie ändert man die Textfarbe in Word 2013?","Wählen Sie den zu modifizierenden Text aus. Klicken Sie im persönlichen Tab die Schrift an aufklappbaren Pfeil färben und die Schriftfarbe auswählen, die Sie verwenden möchten.","Wählen Sie den Text aus, zu ändern. Von der Home-, klicken Sie auf das Register Schriftfarbe Drop-Down Pfeil und wählen Sie die Schriftfarbe Sie verwenden möchten."
"2296-1","Select the image. The Format tab appears, click the Crop command, cropping handles will appear around the image. Click, hold, and drag a handle to crop the image.","Wie schneidet man ein Bild in Word 2013 zu?","Wählen Sie das Bild. Das Format Registerkarte erscheint, klicken Sie auf das Zuschneiden Befehl, Zuschneidegriffe erscheinen wird das Bild. Klicken Sie, halten, und ziehen Sie einen der Griffe, um das Bild.","Wählen Sie das Bild aus. Der Formattab erscheint, den zuschneiden-Befehl klicken, werden Kupieridentifikatoren umgeben Bild angezeigt. Klicken Sie an, halten Sie und ziehen Sie einen Griff, um das Bildes."
"2332-2","From the Insert tab, select SmartArt in the Illustrations group. Select a category on the left, choose the desired SmartArt graphic, then click OK.","Wie kann ich eine SmartArt-Grafik in Word 2013 einfügen?","Wählen Sie aus dem Einsatztab SmartArt in der Illustrationsgruppe aus. Wählen Sie eine Kategorie links aus, wählen Sie die gewünschte SmartArt-Grafik, klicken Sie auf OK.","Aus dem Einfügen Register wählen Sie SmartArt in den Illustrationen Gruppe. Wählen Sie eine Kategorie auf der linken Seite, wählen Sie den gewünschten SmartArt Grafik, klicken Sie auf OK."
"2342-2","From the Design tab, click the Themes command, then select Save Current Theme...Type a name for your theme, then click Save.","Wie kann ich in Word 2013 das Motiv speichern?","Klicken Sie im Entwurfsmodus Tab den Themenbefehl, wählen dann aus Aktuelles Thema Speichern von... Geben Sie einen Namen für Ihr Thema, dann klicken Sie auf speichern "".","Klicken Sie vom Design-Tab den Themen-Befehl an, dann wählen aus Gegenwärtiges Theme...Type Sparen ein Name für Ihr Thema, dann Klick Sparen."
"2345-2","Try to use the repair option in WinRAR.","Wie repariere ich beschädigte .rar Dateien?","Versuchen Sie, die Reparaturoption in WinRAR zu verwenden.","Versuchen, die Reparatur Option in WinRAR."
"2346-2","Unless you download anything, there is little chance of getting a virus on your iPad mini.","Kann sich ein iPad Mini einen Virus einfangen?","Wenn Sie Alles herunterladen, gibt es daher nicht Wahrscheinlichkeit, ein Virus auf Ihrem iPad-MINIROCK zu erhalten.","Es sei denn, Sie Download, besteht kaum eine Chance, ein Virus auf Ihrem IPAD Mini."
"2348-2","Yes, every Mackbook come with iLife which contains iPhoto, iMovie, and GarageBand.","Hat das Macbook iMovie oder muss ich es separat erwerben?","Ja, jeder Mackbook mit iLife gekommen, das iPhoto, iMovie und GarageBand enthält.","Ja, alle Mackbook mit iLife die enthält iPhoto, iMovie, und GarageBand."
"2357-1","Not from the YouTube site itself. It's possible to get one from going to another site via a link on YouTube.","Ist es möglich, Viren von YouTube zu bekommen?","Nicht aus dem YouTube Seite selbst. Ihre möglich, von einer anderen Seite, über einen Link auf YouTube.","Nicht von der YouTube-Website selbst. Sein möglich einen zu erhalten daran zu gehen zu einer anderen Website über einem Link auf YouTube."
"2361-1","Go to Control Panel click Folder Options, then click on the view tab and select the ""show hidden files, folders, and drives"".","Wie kann ich in Windows 7 versteckte Dateien sehen?","Gehen Sie zu Systemsteuerungs-Klick-Verzeichnis-Optionen, klicken Sie dann den Ansichtentab an und wählen Sie die ""Schau"" aus verheimlichte Dateien, Verzeichnisse, und Laufwerke"".","Sprung zu Systemsteuerung-Klickverzeichnis-Optionen, klicken Sie dann den Ansichtentab und wählen Sie aus den ""anzeigen verborgene Dateien, Ordner und Laufwerke""."
"2368-2","Click the File tab > Backstage > Options. Select Save, check the box next to Save to Computer by default, then click OK. The default save location will be changed.","Ist es möglich, den Standard-Speicherort für PowerPoint 2013 zu ändern?","Klicken Sie auf den Dateitab > an hinter den Kulissen > Optionen. Wählen Sie Speichern, überprüfen das Feld nächste zu Computer standardmäßig so speichern, dann klicken Sie auf OK. Die Standardeinstellung Speicherort speichern wird geändert werden.","Klicken Sie auf das Register < Datei > Backstage- > Optionen. Auserlesen Sparen, überprüfen die Box nächste zu Computer standardmäßig Zu Sparen, dann Klick in Ordnung. Die Voreinstellung Speicherstelle sparen wird verändert werden."
"2382-1","Click the check box in front of the email you want to ﬁle, click onh Move To, go to Create New, enter the folder name and chose Create. The email will be moved to your new folder.","Wie ich tun, um eine E-Mail-Ordner in Google Mail zu erstellen?","Klicken Sie das Kontrollkästchen an vorn von der E-Mail, die Sie zu wollen, ﬁle gehen, Klick-Onh-Schritt Zu, EinZurichten Neu, gibt den Verzeichnisnamen ein und wählte Einrichten. Die E-Mail-werden auf Ihrem neuen Ordner.","Klicken Sie auf das Markierfeld vor der E-Mail, die Sie ﬁle möchten, klicken Sie auf ONH-ans, gehen Neu erstellen, liefert den Ordnernamen eingeben und ausgewählte erstellen. Die E-Mail wird in Ihrem neuen Ordner verschoben."
"2387-1","Click the Preview command on the Transitions tab.","Wie kann ich eine Vorschau von einem Übergang in PowerPoint 2013 bekommen?","Klicken Sie auf die Vorschau auf die Transitions "".","Klicken Sie auf den Vorschaubefehl auf dem Übergangstab."
"2392-1","Click the Notes command at the bottom of the screen to open the Notes pane. Click and drag the edge of the pane to resize it. Click the Notes pane and begin typing to add notes.","Ist es möglich Notizen zu PowerPoint 2013 hinzuzufügen?","Klicken Sie den Vermerke-Befehl am Ende vom Bildschirm an, um das Vermerke-Fenster aufzumachen. Klicken und ziehen Sie die Rand des Folienliste auf die Größe ändern können. Klicken Sie auf das Notes Bereich und Eingabe beginnen hinzufügen.","Klicken Sie auf den Notizen-Befehl am unteren Bildrand, um das Notizen-Fenster zu öffnen. Klicken und ziehen Sie den Rand des Fensters, um es zu verändern. Klicken Sie auf das Notizen-Fenster und starten Sie eingeben, um Notizen hinzuzufügen."
